Name;Code;2009-2010;2010-2011;2011-2012;2012-2013;2013-2014
Newfoundland and Labrador;CA05;4945;4775;4552;4526;4455
Prince Edward Island;CA09;1407;1428;1425;1425;1423
Nova Scotia;CA07;9096;8818;8729;8675;8572
New Brunswick;CA04;739;714;7028;6931;6826
Quebec;CA10;88433;88611;88311;89;8825
Ontario;CA08;139771;139448;139673;141224;142448
Manitoba;CA03;15952;15614;15699;15977;16237
Saskatchewan;CA11;14239;14438;145;14966;15367
Alberta;CA01;51522;50853;52237;54211;56582
British Columbia;CA02;44641;43908;43774;44153;43738
Yukon;CA12;370;404;441;448;448
Northwest Territories;CA06;737;676;692;696;698
Nunavut;CA13;870;838;859;871;893
